|- ub,lb -|,|- ub,lb -|,|- ub,lb -|,|- ub,lb -|
0.2101,0.0,0.0,0.0,0.0,0.0,0.026096070975918886,0.0
0.3206,0.0,0.0,0.0,-1.0,-1.0,-0.0074887646313277975,-0.04730980392156861
0.3929,0.0,0.0,0.0,0.0,0.0,0.048801267427122944,0.0
0.523,0.0,0.0,0.0,-1.0,-1.0,0.038294043092522184,-0.026666666666666658
1.0,0.0,0.0,0.0,1.0,0.0,0.048982788296041274,-0.0029936822921940165
0.0,-1.0,0.0,0.0,0.0,-1.0,0.011530020703933774,-0.050141351845085835
1.0,0.0,0.0,0.0,1.0,0.0,0.049014427860696486,-0.03486674860989175
0.0,-1.0,0.0,0.0,0.0,-1.0,0.049382539682539583,-0.04942804855275457
1.0,0.0,0.0,0.0,0.3007,0.0,0.04892513089005229,-0.009452524787603389
0.6961999999999999,-0.3038,0.0,0.0,-0.5252,-1.0,0.0426024464831804,-0.04957484289410896
1.0,0.0,0.0,0.0,0.3553,0.0,0.04854600938967135,-0.02043164628798433
0.7822,-0.2178,0.0,0.0,-0.49570000000000003,-1.0,0.04893474178403756,-0.048969653820358006
1.0,0.3043,0.0,0.0,0.0,-1.0,0.049292561983471095,-0.015591375840363075
0.0,-0.5318,0.0,0.0,0.0,-1.0,0.0,-0.04959792746113978
1.0,0.3976,0.0,0.0,0.0,-1.0,0.04966417910447751,-0.006518204315211551
0.0,-0.5258,0.0,0.0,0.0,-1.0,0.0,-0.04903834196891188
0.2101,0.0,0.0,0.0,0.0,0.0,0.026096070975918886,0.0
0.135,-0.1856,0.0,0.0,-0.1856,-0.1856,-0.0074887646313277975,-0.04730980392156861
0.3929,0.0,0.0,0.0,0.0,0.0,0.048801267427122944,0.0
0.28300000000000003,-0.23999999999999996,0.0,0.0,-0.23999999999999996,-0.23999999999999996,0.038294043092522184,-0.026666666666666658
1.0,0.0,0.0,0.0,1.0,0.0,0.048982788296041274,-0.0029936822921940165
0.0,-1.0,0.0,0.0,0.0,-1.0,0.011530020703933774,-0.050141351845085835
1.0,0.0,0.0,0.0,1.0,0.0,0.049014427860696486,-0.03486674860989175
0.0,-1.0,0.0,0.0,0.0,-1.0,0.049382539682539583,-0.04942804855275457
1.0,0.0,0.0,0.0,1.0,0.0,0.04892513089005229,-0.009452524787603389
0.0,-1.0,0.0,0.0,0.0,-1.0,0.0426024464831804,-0.04957484289410896
1.0,0.0,0.0,0.0,1.0,0.0,0.04854600938967135,-0.02043164628798433
0.0,-1.0,0.0,0.0,0.0,-1.0,0.04893474178403756,-0.048969653820358006
0.8658,0.1701,0.0,0.0,0.8658,0.1701,0.049292561983471095,-0.015591375840363075
0.0,-0.5318,0.0,0.0,0.0,-0.5318,0.0,-0.04959792746113978
0.9075,0.30510000000000004,0.0,0.0,0.9075,0.30510000000000004,0.04966417910447751,-0.006518204315211551
0.0,-0.5258,0.0,0.0,0.0,-0.5258,0.0,-0.04903834196891188
